Episode 0: 6.57521s
Episode 1: 18.5728s
Episode 2: 26.9361s
Episode 3: 39.2589s
Episode 4: 51.5698s
         4570157 function calls (4444311 primitive calls) in 53.743 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.019    0.019 /home/filipesousa/.local/lib/python3.9/site-packages/gym/envs/classic_control/__init__.py:1(<module>)
 1768/442    0.004    0.000    0.018    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1713(train)
        1    0.000    0.000    0.018    0.018 /home/filipesousa/.local/lib/python3.9/site-packages/gym/envs/classic_control/cartpole.py:1(<module>)
      220    0.002    0.000    0.017    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/_utils/fetch.py:49(<listcomp>)
        1    0.000    0.000    0.017    0.017 /home/filipesousa/.local/lib/python3.9/site-packages/pygame/__init__.py:21(<module>)
      220    0.001    0.000    0.016    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/loss.py:528(forward)
     3066    0.016    0.000    0.016    0.000 {method 'zero_' of 'torch._C._TensorBase' objects}
      220    0.002    0.000    0.015    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/functional.py:3234(mse_loss)
     7040    0.015    0.000    0.015    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/models/utils.py:129(__getitem__)
      220    0.001    0.000    0.014    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/memory/ExperienceReplayBuffer.py:17(sample)
    53/50    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
     1000    0.013    0.000    0.013    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
    12217    0.009    0.000    0.013    0.000 <string>:2(getvalue)
      220    0.004    0.000    0.013    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/dataloader.py:166(__init__)
  880/220    0.004    0.000    0.013    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1294(state_dict)
      554    0.001    0.000    0.013    0.000 <__array_function__ internals>:177(argwhere)
    28/26    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1171(create_module)
      220    0.006    0.000    0.013    0.000 /usr/lib/python3.9/random.py:374(sample)
    28/26    0.012    0.000    0.013    0.000 {built-in method _imp.create_dynamic}
      880    0.003    0.000    0.012    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/autograd/profiler.py:435(__enter__)
      554    0.002    0.000    0.012    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/numeric.py:571(argwhere)
      220    0.000    0.000    0.011    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/dataloader.py:355(__iter__)
37180/36078    0.006    0.000    0.011    0.000 {built-in method builtins.len}
      558    0.001    0.000    0.011    0.000 <__array_function__ internals>:177(amax)
     4555    0.003    0.000    0.011    0.000 <__array_function__ internals>:177(ndim)
      220    0.000    0.000    0.011    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/dataloader.py:309(_get_iterator)
      220    0.000    0.000    0.011    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/_utils/collate.py:172(<listcomp>)
      220    0.011    0.000    0.011    0.000 {built-in method torch._C._nn.mse_loss}
     2000    0.003    0.000    0.011    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/policies/__init__.py:87(linear_annealing)
      220    0.001    0.000    0.011    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/dataloader.py:560(__init__)
    21532    0.009    0.000    0.011    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/_tensor.py:1092(grad)
     6000    0.003    0.000    0.010    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/agents/Agent.py:124(trainable)
        1    0.000    0.000    0.010    0.010 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:664(__init__)
        1    0.000    0.000    0.010    0.010 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:39(__init__)
      880    0.010    0.000    0.010    0.000 {built-in method torch._ops.profiler._record_function_enter}
        1    0.000    0.000    0.009    0.009 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:193(reset_parameters)
       13    0.000    0.000    0.009    0.001 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/init.py:122(uniform_)
       13    0.000    0.000    0.009    0.001 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/init.py:12(_no_grad_uniform_)
      558    0.001    0.000    0.009    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2675(amax)
       14    0.009    0.001    0.009    0.001 {method 'uniform_' of 'torch._C._TensorBase' objects}
      440    0.009    0.000    0.009    0.000 {built-in method stack}
      880    0.004    0.000    0.009    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1257(_save_to_state_dict)
      220    0.003    0.000    0.008    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/dataloader.py:494(__init__)
      880    0.002    0.000    0.008    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/autograd/profiler.py:426(__init__)
      565    0.002    0.000    0.008    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
      222    0.000    0.000    0.008    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1735(eval)
    60654    0.007    0.000    0.007    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/_jit_internal.py:957(is_scripting)
     5217    0.002    0.000    0.007    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/agents/Agent.py:131(total_training_timesteps)
      220    0.002    0.000    0.007    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/models/utils.py:100(__init__)
     1845    0.005    0.000    0.007    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1188(__setattr__)
      220    0.006    0.000    0.006    0.000 {method 'mean' of 'torch._C._TensorBase' objects}
      554    0.000    0.000    0.006    0.000 <__array_function__ internals>:177(transpose)
     2000    0.006    0.000    0.006    0.000 {built-in method builtins.round}
      220    0.002    0.000    0.006    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/autograd/__init__.py:30(_make_grads)
     4555    0.004    0.000    0.006    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:3164(ndim)
      440    0.006    0.000    0.006    0.000 {built-in method randperm}
     3099    0.002    0.000    0.006    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1612(children)
        9    0.000    0.000    0.005    0.001 /home/filipesousa/.local/lib/python3.9/site-packages/torch/cuda/__init__.py:76(is_available)
       14    0.005    0.000    0.005    0.000 {built-in method torch._C._cuda_getDeviceCount}
      880    0.001    0.000    0.005    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/sampler.py:100(num_samples)
      880    0.002    0.000    0.005    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/autograd/profiler.py:439(__exit__)
      554    0.000    0.000    0.005    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:601(transpose)
     7064    0.003    0.000    0.005    0.000 /usr/lib/python3.9/random.py:237(_randbelow_with_getrandbits)
      565    0.005    0.000    0.005    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1100    0.000    0.000    0.005    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/models/utils.py:126(__len__)
     1000    0.004    0.000    0.005    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/gym/spaces/discrete.py:30(contains)
     1004    0.002    0.000    0.005    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/numerictypes.py:356(issubdtype)
