Episode 0: 3.31092s
Episode 1: 11.1919s
Episode 2: 19.8075s
Episode 3: 27.6878s
Episode 4: 35.88s
         4956584 function calls (4830750 primitive calls) in 37.703 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    57760    0.033    0.000    0.052    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/_VF.py:25(__getattr__)
     6160    0.050    0.000    0.050    0.000 {method 'add_' of 'torch._C._TensorBase' objects}
   181947    0.048    0.000    0.048    0.000 {built-in method torch._C.is_grad_enabled}
   216244    0.047    0.000    0.047    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
     2000    0.002    0.000    0.047    0.000 <__array_function__ internals>:177(clip)
     3100    0.003    0.000    0.045    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
    57540    0.031    0.000    0.044    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:667(get_expected_cell_size)
     2000    0.002    0.000    0.041    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2083(clip)
      220    0.001    0.000    0.037    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/_utils/fetch.py:47(fetch)
     2000    0.004    0.000    0.037    0.000 {method 'clip' of 'numpy.generic' objects}
      220    0.008    0.000    0.036    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/optim/optimizer.py:189(zero_grad)
      550    0.007    0.000    0.034    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/policies/__init__.py:48(greedy_policy)
     2000    0.005    0.000    0.033    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/_methods.py:125(_clip)
     3080    0.030    0.000    0.030    0.000 {method 'copy_' of 'torch._C._TensorBase' objects}
   121298    0.027    0.000    0.027    0.000 {built-in method torch._C._set_grad_enabled}
     3080    0.027    0.000    0.027    0.000 {method 'addcdiv_' of 'torch._C._TensorBase' objects}
     2000    0.006    0.000    0.026    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/agents/dqn/DQNAgent.py:98(exploration_rate)
     3080    0.026    0.000    0.026    0.000 {method 'sqrt' of 'torch._C._TensorBase' objects}
   107570    0.025    0.000    0.025    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:691(permute_hidden)
     3080    0.024    0.000    0.024    0.000 {method 'addcmul_' of 'torch._C._TensorBase' objects}
     55/4    0.000    0.000    0.023    0.006 <frozen importlib._bootstrap>:1002(_find_and_load)
     55/4    0.000    0.000    0.023    0.006 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      440    0.001    0.000    0.023    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/dataloader.py:520(_next_index)
     53/4    0.000    0.000    0.023    0.006 <frozen importlib._bootstrap>:659(_load_unlocked)
     25/4    0.000    0.000    0.023    0.006 <frozen importlib._bootstrap_external>:844(exec_module)
      668    0.000    0.000    0.022    0.000 {built-in method builtins.next}
     83/4    0.000    0.000    0.022    0.006 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
      440    0.004    0.000    0.022    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/sampler.py:224(__iter__)
     1220    0.022    0.000    0.022    0.000 {built-in method tensor}
     4000    0.011    0.000    0.021    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/_methods.py:91(_clip_dep_is_scalar_nan)
    63911    0.021    0.000    0.021    0.000 {built-in method builtins.getattr}
  660/220    0.006    0.000    0.020    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/_utils/collate.py:84(default_collate)
        1    0.000    0.000    0.020    0.020 /home/filipesousa/.local/lib/python3.9/site-packages/gym/envs/registration.py:675(make)
        1    0.000    0.000    0.020    0.020 /home/filipesousa/.local/lib/python3.9/site-packages/gym/envs/registration.py:479(make)
        1    0.000    0.000    0.019    0.019 /home/filipesousa/.local/lib/python3.9/site-packages/gym/envs/registration.py:126(make)
        1    0.000    0.000    0.019    0.019 /home/filipesousa/.local/lib/python3.9/site-packages/gym/envs/registration.py:53(load)
        1    0.000    0.000    0.019    0.019 /usr/lib/python3.9/importlib/__init__.py:109(import_module)
        1    0.000    0.000    0.019    0.019 <frozen importlib._bootstrap>:1018(_gcd_import)
