Episode 0: 2.34267s
Episode 1: 7.95833s
Episode 2: 14.4301s
Episode 3: 20.4294s
Episode 4: 26.5074s
         4797143 function calls (4671382 primitive calls) in 26.557 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.019    0.019 /home/filipesousa/.local/lib/python3.9/site-packages/gym/envs/registration.py:479(make)
        1    0.000    0.000    0.019    0.019 /home/filipesousa/.local/lib/python3.9/site-packages/gym/envs/registration.py:126(make)
        1    0.000    0.000    0.019    0.019 /home/filipesousa/.local/lib/python3.9/site-packages/gym/envs/registration.py:53(load)
        1    0.000    0.000    0.019    0.019 /usr/lib/python3.9/importlib/__init__.py:109(import_module)
        1    0.000    0.000    0.019    0.019 <frozen importlib._bootstrap>:1018(_gcd_import)
        1    0.000    0.000    0.018    0.018 /home/filipesousa/.local/lib/python3.9/site-packages/gym/envs/classic_control/__init__.py:1(<module>)
      220    0.001    0.000    0.017    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/loss.py:528(forward)
     7040    0.017    0.000    0.017    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/models/utils.py:129(__getitem__)
        1    0.000    0.000    0.017    0.017 /home/filipesousa/.local/lib/python3.9/site-packages/gym/envs/classic_control/cartpole.py:1(<module>)
      220    0.002    0.000    0.017    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/functional.py:3234(mse_loss)
        1    0.000    0.000    0.017    0.017 /home/filipesousa/.local/lib/python3.9/site-packages/pygame/__init__.py:21(<module>)
      880    0.003    0.000    0.016    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/autograd/profiler.py:435(__enter__)
  880/220    0.005    0.000    0.016    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1294(state_dict)
     1000    0.014    0.000    0.014    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
      220    0.001    0.000    0.014    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/memory/ExperienceReplayBuffer.py:17(sample)
    12217    0.009    0.000    0.014    0.000 <string>:2(getvalue)
